Region,Year,NACE_Code,Sector_Name,GVA_Value
Riyadh,2021,M_N,Financial & business services,54834.166666666664
Riyadh,2022,M_N,Financial & business services,60000.43333333333
Riyadh,2023,M_N,Financial & business services,67947.66666666667
Riyadh,2024,M_N,Financial & business services,73243.03333333334
Riyadh,2025,M_N,Financial & business services,77386.96666666666
Riyadh,2026,M_N,Financial & business services,80842.5
Riyadh,2027,M_N,Financial & business services,85191.83333333333
Riyadh,2028,M_N,Financial & business services,89777.56666666667
Riyadh,2029,M_N,Financial & business services,93865.53333333333
Riyadh,2030,M_N,Financial & business services,97677.86666666665
Riyadh,2031,M_N,Financial & business services,101314.76666666666
Riyadh,2032,M_N,Financial & business services,104642.93333333333
Riyadh,2033,M_N,Financial & business services,107972.46666666667
Riyadh,2034,M_N,Financial & business services,111212.46666666667
Riyadh,2035,M_N,Financial & business services,114312.59999999999
Riyadh,2020,O-Q,Public services,173693.3
Riyadh,2021,O-Q,Public services,175359.3
Riyadh,2022,O-Q,Public services,194818.7
Riyadh,2023,O-Q,Public services,207212.8
Riyadh,2024,O-Q,Public services,213054.5
Riyadh,2025,O-Q,Public services,218488.8
Riyadh,2026,O-Q,Public services,221311.2
Riyadh,2027,O-Q,Public services,225475.5
Riyadh,2028,O-Q,Public services,231503.9
Riyadh,2029,O-Q,Public services,237265.6
Riyadh,2030,O-Q,Public services,242818.3
Riyadh,2031,O-Q,Public services,247886.4
Riyadh,2032,O-Q,Public services,252686.6
Riyadh,2033,O-Q,Public services,257443.0
Riyadh,2034,O-Q,Public services,262133.6
Riyadh,2035,O-Q,Public services,266350.7
Riyadh,2020,R-U,Consumer services,61266.6
Riyadh,2021,R-U,Consumer services,71660.55
Riyadh,2022,R-U,Consumer services,80336.4
Riyadh,2023,R-U,Consumer services,90252.85
Riyadh,2024,R-U,Consumer services,98223.8
Riyadh,2025,R-U,Consumer services,104515.65
Riyadh,2026,R-U,Consumer services,107101.2
Riyadh,2027,R-U,Consumer services,112065.65
Riyadh,2028,R-U,Consumer services,117402.45
Riyadh,2029,R-U,Consumer services,122324.0
Riyadh,2030,R-U,Consumer services,126798.0
Riyadh,2031,R-U,Consumer services,130931.4
Riyadh,2032,R-U,Consumer services,134830.85
Riyadh,2033,R-U,Consumer services,138480.3
Riyadh,2034,R-U,Consumer services,141932.55
Riyadh,2035,R-U,Consumer services,144909.7
