Region,Year,NACE_Code,Sector_Name,GVA_Value,Employment_Value,Productivity,GVA_Share,Employment_Share
Riyadh,2023,A,Agriculture,2.0750099999999754,5.078092115358084,408.61999996501737,9.999999999999883e-05,0.008575249431278353
Riyadh,2023,B-E,Industry,16.50382500000063,71.02926993516614,232.3524515325152,0.00010000000000000383,0.11994538357693806
Riyadh,2023,F,Construction,16.5038250000001,82.35157064784443,200.40692448447055,0.00010000000000000059,0.13906507470138912
Riyadh,2023,G-I,"Wholesale, retail, transport, accommodation and food",15.363260000000105,131.56400000000087,116.77404153111796,0.00010000000000000068,0.22216889543311438
Riyadh,2023,J,Information and communication,6.3379749999998625,15.572191711500938,407.00597047741917,9.999999999999784e-05,0.026296377671831503
Riyadh,2023,K,Financial and insurance activities,6.79476666666635,33.58166666666509,202.33559978162694,9.999999999999533e-05,0.0567085356946883
Riyadh,2023,L,Real estate activities,6.7947666666670425,33.58166666666852,202.33559978162694,0.00010000000000000552,0.05670853569469408
Riyadh,2023,M_N,"Professional, scientific, technical, administration and support",6.794766666666823,30.058187294441694,226.05377363934713,0.0001000000000000023,0.05075852261962041
Riyadh,2023,O-Q,"Public administration, defence, education, health and social work",20.72127999999963,72.954546748359,284.03000119339,9.999999999999823e-05,0.12319655124430937
Riyadh,2023,R-U,Other services,9.025285000000467,116.40891400026725,77.53087534155458,0.00010000000000000517,0.19657687393213652
Riyadh,2024,A,Agriculture,3.5524566695017987,10.399690784849076,341.5925283737514,0.0001281939416482856,0.012200113758005891
Riyadh,2024,B-E,Industry,24.58377936599343,113.87539811789438,215.88314747793038,0.00012837298350020263,0.13358981916082838
Riyadh,2024,F,Construction,24.58396424483947,132.02850636469253,186.20194169987056,0.00012837394891112254,0.15488564326311646
Riyadh,2024,G-I,"Wholesale, retail, transport, accommodation and food",21.228659298250605,184.18515524447014,115.25716755008659,0.0001283730473244539,0.216071794152976
Riyadh,2024,J,Information and communication,8.619221044164359,24.417862703847835,352.9883490910987,0.00012837081733824463,0.028645150021990404
Riyadh,2024,K,Financial and insurance activities,9.399933789881729,46.120311872817894,203.8133179975698,0.0001283389472293164,0.05410478667527553
Riyadh,2024,L,Real estate activities,9.401923791342773,46.13007571691108,203.81331799756987,0.00012836611706882846,0.054116240862819825
Riyadh,2024,M_N,"Professional, scientific, technical, administration and support",9.402451549640757,41.29230102970994,227.70471286828175,0.00012837332264557707,0.04844093736192715
Riyadh,2024,O-Q,"Public administration, defence, education, health and social work",27.34931301396139,93.84268348316543,291.43788304889665,0.0001283676853291594,0.11008898606092295
Riyadh,2024,R-U,Other services,12.608126046628906,160.13373718973298,78.73497657579979,0.00012836121231950815,0.18785652868213745
Riyadh,2025,A,Agriculture,4.716506588656583,15.156347917377007,311.1901768399648,0.00016426162954889264,0.012599939221143141
Riyadh,2025,B-E,Industry,33.34172720850382,165.89156470436208,200.98506676890187,0.00016478546606444745,0.137910771379088
Riyadh,2025,F,Construction,33.34229974534896,192.33853190671925,173.35215889824602,0.00016478829572441904,0.15989695044741173
Riyadh,2025,G-I,"Wholesale, retail, transport, accommodation and food",28.974038929977482,257.0557317503665,112.71500826954883,0.00016478565313432983,0.21369835359794392
Riyadh,2025,J,Information and communication,11.750893181426443,37.51987906260118,313.19112627789417,0.00016477911715152136,0.03119143202244666
Riyadh,2025,K,Financial and insurance activities,12.744529811545707,65.45489600572121,194.70705156160886,0.00016468573922067464,0.05441467270969466
Riyadh,2025,L,Real estate activities,12.750690016891786,65.48653433261627,194.70705156160886,0.00016476534184126337,0.05444097462610022
Riyadh,2025,M_N,"Professional, scientific, technical, administration and support",12.752324295462335,58.62302273235169,217.5309921101158,0.00016478646010756768,0.048735125863695265
Riyadh,2025,O-Q,"Public administration, defence, education, health and social work",36.00038600235923,125.60934910751162,286.6059434122675,0.00016476993787488983,0.10442292384614892
Riyadh,2025,R-U,Other services,17.21905457468681,219.7547002335504,78.3557965148722,0.00016475096863184424,0.1826888562863274
Riyadh,2026,A,Agriculture,6.080947022437303,20.22353093015979,300.68671209974787,0.00021035385217738726,0.012486066299971982
Riyadh,2026,B-E,Industry,45.52120313051243,232.44261748063263,195.83845520198253,0.00021150847570638193,0.14351074215600756
Riyadh,2026,F,Construction,45.52254857179507,269.50270530537506,168.9131414106334,0.0002115147271280332,0.16639174722186537
Riyadh,2026,G-I,"Wholesale, retail, transport, accommodation and food",38.50840817491146,340.69217311107303,113.02991736871185,0.00021150888898543738,0.2103443298817047
Riyadh,2026,J,Information and communication,15.85446994562935,52.57586822587067,301.5541251267049,0.00021149444994436465,0.03246049261693515
Riyadh,2026,K,Financial and insurance activities,17.081070608333356,87.18316761869768,195.921656380263,0.00021128825318778312,0.053827139033630095
Riyadh,2026,L,Real estate activities,17.09528009872051,87.25569400832546,195.92165638026296,0.0002114640207653216,0.05387191703567719
Riyadh,2026,M_N,"Professional, scientific, technical, administration and support",17.099051483121833,78.11782013868576,218.8879752758742,0.00021151067177687272,0.0482301673644094
Riyadh,2026,O-Q,"Public administration, defence, education, health and social work",46.80160295916242,163.55296160364796,286.1556434091411,0.000211474172835186,0.1009780700112285
Riyadh,2026,R-U,Other services,22.644650345391508,288.14139565531036,78.58867447314029,0.00021143227475874695,0.17789932837857
Riyadh,2027,A,Agriculture,7.916361989223198,26.46161603410984,299.16396561036794,0.0002691783156526765,0.0122137872410851
Riyadh,2027,B-E,Industry,62.05790872911218,321.15222676185294,193.23518119377874,0.0002714500616496382,0.1482330090729827
Riyadh,2027,F,Construction,62.06072896100985,372.3618759005639,166.66778469443162,0.0002714623977424613,0.17186965161456408
Riyadh,2027,G-I,"Wholesale, retail, transport, accommodation and food",52.13352536032609,449.36521108781295,116.0159355329765,0.00027145087717184336,0.2074117874999418
Riyadh,2027,J,Information and communication,21.710927347849296,71.9471469835494,301.76217206796906,0.0002714223856752271,0.033208370370404354
Riyadh,2027,K,Financial and insurance activities,23.08832782293974,115.87277998905864,199.25583752387635,0.0002710157408234327,0.053482957352080474
Riyadh,2027,L,Real estate activities,23.11785599726757,116.02097225632055,199.25583752387632,0.0002713623488628711,0.053551357891971074
Riyadh,2027,M_N,"Professional, scientific, technical, administration and support",23.12569759074884,103.88296300625308,222.61299563968754,0.00027145439516795047,0.04794886323255395
Riyadh,2027,O-Q,"Public administration, defence, education, health and social work",61.19007734337026,212.29701498836724,288.2286279282973,0.0002713823778786177,0.09798912393116803
Riyadh,2027,R-U,Other services,30.403379897351687,377.17470716172704,80.60821502624023,0.00027129972384358356,0.17409109179324844
Riyadh,2028,A,Agriculture,10.33219325625421,34.392919580348654,300.4162886525573,0.000344124489210314,0.011921938795065649
Riyadh,2028,B-E,Industry,84.42088983971627,438.1796908628283,192.66271714574773,0.0003483310646791248,0.15189031694454563
Riyadh,2028,F,Construction,84.4264468329088,508.060424630948,166.17402722173384,0.0003483539935224341,0.1761137280740219
Riyadh,2028,G-I,"Wholesale, retail, transport, accommodation and food",70.82090767716632,592.1305534979753,119.60353550208838,0.00034833258044471754,0.20525574169413519
Riyadh,2028,J,Information and communication,29.921260029755583,98.59558391762958,303.47464704659507,0.00034827962731174346,0.03417710770915084
Riyadh,2028,K,Financial and insurance activities,31.199894689017178,153.0705957508075,203.82683255384524,0.000347524396655332,0.0530602896215903
Riyadh,2028,L,Real estate activities,31.257681366689898,153.3541044378076,203.82683255384518,0.0003481680616578295,0.05315856488450853
Riyadh,2028,M_N,"Professional, scientific, technical, administration and support",31.273038496088553,137.3312153765668,227.71981162721696,0.0003483391191944597,0.04760440126481436
Riyadh,2028,O-Q,"Public administration, defence, education, health and social work",80.61088005818647,276.93257096320514,291.08486509120985,0.0003482052788665179,0.09599572242392447
Riyadh,2028,R-U,Other services,40.862123474423576,492.79516491782533,82.91908359376339,0.0003480517099466287,0.1708221885882431
Riyadh,2029,A,Agriculture,13.464935830276984,44.618118288109905,301.781795084469,0.0004394040728946598,0.01168864078716608
Riyadh,2029,B-E,Industry,114.30137573144401,591.2660848603523,193.3163065803786,0.0004469075027220523,0.15489440480076058
Riyadh,2029,F,Construction,114.31188652211867,685.578893551793,166.73775636513642,0.0004469485989134322,0.17960159965161868
Riyadh,2029,G-I,"Wholesale, retail, transport, accommodation and food",95.27129268181292,776.8707380658748,122.63467783456967,0.00044691021941700715,0.20351739032733798
Riyadh,2029,J,Information and communication,40.594824810572625,132.72125184738576,305.86529470993855,0.0004468153174892451,0.03476908254287592
Riyadh,2029,K,Financial and insurance activities,41.813626600309235,200.50588775194575,208.54064221814087,0.00044546304820771175,0.05252667274112463
Riyadh,2029,L,Real estate activities,41.92179350724805,201.02457277079048,208.5406422181409,0.0004466154084308694,0.0526625530314545
Riyadh,2029,M_N,"Professional, scientific, technical, administration and support",41.950566150885116,180.05602548634104,232.9861832592071,0.00044692193887516877,0.047169407501335844
Riyadh,2029,O-Q,"Public administration, defence, education, health and social work",105.98229420794075,361.8719640101494,292.87235472314256,0.00044668209048400083,0.09479986069668267
Riyadh,2029,R-U,Other services,54.60628712829743,642.7068827935954,84.96297237544006,0.0004464069776029024,0.16837038791964315
Riyadh,2030,A,Agriculture,17.521884610995336,57.741648514584895,303.45314104722013,0.0005602005190567691,0.011501972835521332
